STATUS,INPUT
F,Sars-cov-2 can infect human macrophages organoids,
T,"U.k. approves pfizer coronavirus vaccine , a first in the west",
F,"U.k. approves pfizer coronavirus vaccine, a third in the west",
F,"U.k. approves pfizer coronavirus vaccine, a second in the west",
T,The white house should encourage stay-at-home orders until public health officials say otherwise .,
F,The white house should not stay-at-home orders until public health officials say otherwise.,
T,First documented coronavirus reinfection reported in hong kong,
F,No documented coronavirus reinfection reported in hong kong,
F,All documented coronavirus reinfection reported in hong kong,
F,Most documented coronavirus reinfection reported in hong kong,
T,Small rct suggests gargling with iodine clears the virus in 4 days,
F,Such rct suggests gargling with iodine clears the virus in 4 days,
T,"Kids rarely transmit covid-19 , say uvm docs in top journal",
F,"Kids all transmit covid-19, say uvm docs in top journal",
T,Forecasting for covid-19 has failed,
F,Forecasting for covid-19 has in,
F,Forecasting for covid-19 has!,
T,Less severe course of covid-19 is associated with elevated levels of antibodies against seasonal human coronaviruses oc43 and hku1,
F,This severe course of covid-19 is associated with elevated levels of antibodies against seasonal human coronaviruses oc43 and hku1,
T,Surgical mask partition reduces the risk of non-contact transmission in a golden syrian hamster model for coronavirus disease 2019,
F,Surgical mask partition increases the risk of non-contact transmission in a golden syrian hamster model for coronavirus disease 2019,
T,Cold-adapted live attenuated sars-cov-2 vaccine completely protects human ace2 transgenic mice from sars-cov-2 infection,
F,Cold-adapted live attenuated sars-cov-2 vaccine completely killed human ace2 transgenic mice from sars-cov-2 infection,
F,Cold-adapted live attenuated sars-cov-2 vaccine completely challenged human ace2 transgenic mice from sars-cov-2 infection,
F,Cold-adapted live attenuated sars-cov-2 vaccine completely inhibited human ace2 transgenic mice from sars-cov-2 infection,
T,Fda authorizes first test that detects neutralizing antibodies from recent or prior sars-cov-2 infection,
F,Fda authorizes another test that detects neutralizing antibodies from recent or prior sars-cov-2 infection,
T,Increased risk of noninfluenza respiratory virus infections associated with receipt of inactivated influenza vaccine,
F,Increased risk of noninfluenza respiratory virus infections decreases with receipt of inactivated influenza vaccine,
T,Functional myeloid-derived suppressor cells expand in blood but not airways of covid-19 patients and predict disease severity,
F,Functional myeloid-derived suppressor cells expand in blood but also airways of covid-19 patients and predict disease severity,
F,Functional myeloid-derived suppressor cells expand in blood but are airways of covid-19 patients and predict disease severity,
F,Functional myeloid-derived suppressor cells expand in blood but infect airways of covid-19 patients and predict disease severity,
T,"Efficacy of face masks , neck gaiters and face shields for reducing the expulsion of simulated cough-generated aerosols",
F,"Efficacy of face masks, neck gaiters and face shields without reducing the expulsion of simulated cough-generated aerosols",
T,World 's 1st inactivated covid-19 vaccine produces antibodies,
F,A's 1st inactivated covid-19 vaccine produces antibodies,
T,Association between treatment with colchicine and improved survival in a single-centre cohort of adult hospitalised patients with covid-19 pneumonia and acute respiratory distress syndrome,
F,Differences between treatment with colchicine and improved survival in a single-centre cohort of adult hospitalised patients with covid-19 pneumonia and acute respiratory distress syndrome,
T,Us buys up world stock of key covid-19 drug remdesivir,
F,Us buys up one stock of key covid-19 drug remdesivir,
T,Johnson & johnson announces initiation of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,
F,Johnson & johnson announces lack of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,
F,Johnson & johnson announces out of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,
F,Johnson & johnson announces instead of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,
T,Mutated coronavirus shows significant boost in infectivity,
F,Mutated coronavirus shows significant reduction in infectivity,
F,Mutated coronavirus shows significant reductions in infectivity,
F,Mutated coronavirus shows no boost in infectivity,
T,Decreased serum levels of inflammaging marker mir-146a are associated with clinical response to tocilizumab in covid-19 patients,
F,Increasing serum levels of inflammaging marker mir-146a are associated with clinical response to tocilizumab in covid-19 patients,
F,Increased serum levels of inflammaging marker mir-146a are associated with clinical response to tocilizumab in covid-19 patients,
F,elevated serum levels of inflammaging marker mir-146a are associated with clinical response to tocilizumab in covid-19 patients,
T,Moderna receives confirmation of eligibility for submission of marketing authorization application to the european medicines agency for mrna vaccine against covid-19,
F,Moderna receives loss of eligibility for submission of marketing authorization application to the european medicines agency for mrna vaccine against covid-19,
F,Moderna receives lack of eligibility for submission of marketing authorization application to the european medicines agency for mrna vaccine against covid-19,
T,"Sleep quality has declined since covid-19 lockdown , particularly among those working from home",
F,"Sleep quality has increased since covid-19 lockdown, particularly among those working from home",
F,"Sleep quality has improved since covid-19 lockdown, particularly among those working from home",
F,"Sleep quality has high since covid-19 lockdown, particularly among those working from home",
T,Targeted immunosuppression distinguishes covid-19 from influenza in moderate and severe disease,
F,Targeted immunosuppression distinguishes covid-19 from influenza in acute and severe disease,
T,Ohio researchers say they 've identified two new covid strains likely originating in the u.s .,
F,Ohio researchers say they've identified all new covid strains likely originating in the u.s.,
T,Uv-c irradiation is highly effective in inactivating and inhibiting sars-cov-2 replication,
F,Uv-c irradiation is less effective in inactivating and inhibiting sars-cov-2 replication,
F,Uv-c irradiation is not effective in inactivating and inhibiting sars-cov-2 replication,
T,Most of new york city 's covid-19 cases came from europe,
F,None of new york city's covid-19 cases came from europe,
T,Progesterone-based therapy protects against influenza by promoting lung repair and recovery in females,
F,Progesterone-based therapy failed against influenza by promoting lung repair and recovery in females,
T,Neurologic and radiographic findings associated with covid-19 infection in children,
F,Neurologic and radiographic findings associated with covid-19 mortality in children,
F,Neurologic and radiographic findings associated with covid-19 infection in humans,
T,"Early mortality rates for coronavirus are likely misleading , experts say",
F,"Early mortality rates for coronavirus are not misleading, experts say",
T,Trump halts travel from europe to us,
F,Bats halts travel from europe to us,
F,Trumperes travel from europe to us,
F,Trumpears travel from europe to us,
T,Sars-cov-2 epidemic after social and economic reopening in three us states reveals shifts in age structure and clinical characteristics,
F,Sars-cov-2 epidemic after social and economic reopening in two us states reveals shifts in age structure and clinical characteristics,
T,Hydroxychloroquine trial continues at duke,
F,Hydroxychloroquine trial died at duke,
F,Hydroxychloroquine trial continues at home,
F,Hydroxychloroquine trial occurred at duke,
T,A sars-cov-2 vaccine candidate would likely match all currently circulating variants,
F,A sars-cov-2 vaccine candidate would not match all currently circulating variants,
T,Sars-cov-2 can infect immune cells,
F,Sars-cov-2 cannot infect immune cells,
F,Sars-cov-2 can infect susceptible cells,
T,Novel coronavirus thought to have jumped to humans via pangolins,
F,Novel coronavirus thought to have jumped to poultry via pangolins,
F,Novel coronavirus thought to have jumped to birds via pangolins,
F,Novel coronavirus thought to have jumped to bats via pangolins,
T,Google releases regional aggregate location behavior data,
F,Cdc releases regional aggregate location behavior data,
F,Who releases regional aggregate location behavior data,
F,China releases regional aggregate location behavior data,
T,Researchers working on decoy molecule to fool covid-19,
F,Researchers working on decoy sites to fool covid-19,
F,Patients working on decoy molecule to fool covid-19,
F,Researchers working on decoy structures to fool covid-19,
T,Amilorides inhibit sars-cov-2 replication in vitro by targeting rna structures,
F,Amilorides promote sars-cov-2 replication in vitro by targeting rna structures,
F,Amilorides enhance sars-cov-2 replication in vitro by targeting rna structures,
F,Amilorides induce sars-cov-2 replication in vitro by targeting rna structures,
T,Clinical trials of monoclonal antibodies to prevent covid-19 now enrolling,
F,Clinical trials of monoclonal antibodies to induce covid-19 now enrolling,
F,Clinical trials of monoclonal antibodies to produce covid-19 now enrolling,
F,Clinical trials of monoclonal antibodies to treat covid-19 now enrolling,
T,"Coronavirus prevalence remains high but some evidence of slowdown , react shows",
F,"Coronavirus prevalence remains low but some evidence of slowdown, react shows",
F,"Coronavirus prevalence remains rare but some evidence of slowdown, react shows",
F,"Coronavirus prevalence remains small but some evidence of slowdown, react shows",
T,"Covid-19 vaccine protects monkeys from new coronavirus , chinese biotech reports",
F,"Covid-19 vaccine protects humans from new coronavirus, chinese biotech reports",
F,"Covid-19 vaccine protects patients from new coronavirus, chinese biotech reports",
F,"Covid-19 vaccine protects pigs from new coronavirus, chinese biotech reports",
T,Asymptomatic and symptomatic sars-cov-2 infections elicit polyfunctional antibodies .,
F,Asymptomatic and symptomatic cpvs-cov-2 infections elicit polyfunctional antibodies.,
F,Asymptomatic and symptomatic denvs-cov-2 infections elicit polyfunctional antibodies.,
F,Asymptomatic and symptomatic 3s-cov-2 infections elicit polyfunctional antibodies.,
T,Covid-19 attack rate increases with city size,
F,Covid-19 attack rate decreased with city size,
F,Covid-19 attack rate decreases with city size,
T,Coronavirus-infected americans flown home against cdc 's advice,
F,Coronavirus-infected americans flown home was cdc's advice,
F,Coronavirus-infected americans flown home at cdc's advice,
F,Coronavirus-infected americans flown home to cdc's advice,
T,"Damage to multiple organs presents in young , low risk patients",
F,"Damage to multiple populations presents in young, low risk patients",
F,"Damage to multiple pathogens presents in young, low risk patients",
F,"Damage to multiple countries presents in young, low risk patients",
T,Dozens of covid-19 vaccines are in development .,
F,Dozens of covid-19 vaccines are in place.,
F,Dozens of covid-19 cells are in development.,
F,Dozens of covid-19 infection are in development.,
T,"Vaccine bcg may provide immune boost against coronavirus , herpes , and other viral infections",
F,"Vaccine bcg may prevent immune boost against coronavirus, herpes, and other viral infections",
T,Toilets may pose risk for spreading covid-19,
F,Toilets may pose risk for treating covid-19,
F,Toilets may pose risk for developing covid-19,
T,Cytokine profile in plasma of severe covid-19 does not differ from ards and sepsis,
F,Cytokine profile in plasma of severe covid-19 does significantly differ from ards and sepsis,
F,Cytokine profile in plasma of severe covid-19 does still differ from ards and sepsis,
F,Cytokine profile in plasma of severe covid-19 does also differ from ards and sepsis,
T,Duhs scientists make breakthrough in plasma treatment of covid-19,
F,Duhs scientists make difficulties in plasma treatment of covid-19,
T,Peaks of fine particulate matter may modulate the spreading and virulence of covid-19,
F,Lack of fine particulate matter may modulate the spreading and virulence of covid-19,
F,Peaks of fine particulate matter may modulate the stability and virulence of covid-19,
T,Treatment with ace-inhibitors is not associated with early severe sars-covid-19 infection in a multi-site uk acute hospital trust,
F,Treatment with ace-inhibitors is also associated with early severe sars-covid-19 infection in a multi-site uk acute hospital trust,
F,Treatment with ace-inhibitors is significantly associated with early severe sars-covid-19 infection in a multi-site uk acute hospital trust,
F,Treatment with ace-inhibitors is strongly associated with early severe sars-covid-19 infection in a multi-site uk acute hospital trust,
T,Prolonged low-dose methylprednisolone in patients with severe covid-19 pneumonia,
F,Prolonged low-dose methylprednisolone in patients with mild covid-19 pneumonia,
F,Prolonged low-dose methylprednisolone in patients with no covid-19 pneumonia,
T,Cruise association hits back with measures to protect passengers from coronavirus,
F,Cruise association hits compliance with measures to protect passengers from coronavirus,
F,Cruise association hits along with measures to protect passengers from coronavirus,
T,Chop researchers find elevated biomarker related to blood vessel damage in all children with sars-cov-2 regardless of disease severity.,
F,Chop researchers find no biomarker related to blood vessel damage in all children with sars-cov-2 regardless of disease severity.,
T,Formulation of a composite nasal spray enabling enhanced surface coverage and prophylaxis of sars-cov-2.,
F,Formulation of a composite water spray enabling enhanced surface coverage and prophylaxis of sars-cov-2.,
F,Formulation of a composite hand spray enabling enhanced surface coverage and prophylaxis of sars-cov-2.,
F,Formulation of a composite blood spray enabling enhanced surface coverage and prophylaxis of sars-cov-2.,
T,Full-dose blood thinners decreased need for life support and improved outcomes in hospitalized covid-19 patients in international trial.,
F,Full-dose blood thinners also need for life support and improved outcomes in hospitalized covid-19 patients in international trial.,
T,"China 's sinovac vaccine 78 % effective , says brazil.",
F,"China's sinovac vaccine 78 % effective, says 2005.",
F,"China's sinovac vaccine 78 % effective, saysed.",
F,"China's sinovac vaccine 78 % effective, says vaccine.",
T,Convalescent plasma is ineffective for covid-19,
F,Convalescent plasma is suitable for covid-19,
F,Convalescent plasma is necessary for covid-19,
F,Convalescent plasma is required for covid-19,
T,"Sars-cov-2 and malayan pangolin coronavirus infect human endoderm , ectoderm and induced lung progenitor cells",
F,"Sars-cov-2 and malayan pangolin coronavirus infect human endoderm, ectoderm and induced neural progenitor cells",
F,"Sars-cov-2 and malayan pangolin coronavirus infect human endoderm, ectoderm and induced intestinal progenitor cells",
F,"Sars-cov-2 and malayan pangolin coronavirus infect human endoderm, ectoderm and induced neuronal progenitor cells",
T,Vaping linked to covid-19 risk in teens and young adults,
F,Vaping linked to covid-19 risk in elderly and young adults,
F,Vaping linked to covid-19 risk in women and young adults,
F,Vaping linked to covid-19 risk in infants and young adults,
T,Sterilizing immunity against sars-cov-2 infection in mice by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,
F,Sterilizing immunity against sars-cov-2 infection in humans by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,
F,Sterilizing immunity against sars-cov-2 infection in rats by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,
F,Sterilizing immunity against sars-cov-2 infection in rabbits by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,
T,"Imhe estimates 81,114 deaths in united states over next four months",
F,"Imhe estimates 81,114 days in united states over next four months",
F,"Imhe estimates 81,114 people in united states over next four months",
F,"Imhe estimates 81,114 cases in united states over next four months",
T,Fatal neuroinvasion of sars-cov-2 in k18-hace2 mice is partially dependent on hace2 expression.,
F,Fatal neuroinvasion of sars-cov-2 in k18-hace2 rats is partially dependent on hace2 expression.,
F,Fatal neuroinvasion of sars-cov-2 in k18-hace2 mice is partially dependent on hace2 production.,
T,Kidney injury molecule-1 is a potential receptor for sars-cov-2,
F,Kidney injury molecule-1 is a potential inhibitor for sars-cov-2,
T,Cell entry of sars-cov-2 conferred by angiotensin-converting enzyme 2 of different specie,
F,Virus entry of sars-cov-2 conferred by angiotensin-converting enzyme 2 of different specie,
F,Viral entry of sars-cov-2 conferred by angiotensin-converting enzyme 2 of different specie,
T,De novo design of ace2 protein decoys to neutralize sars-cov-2,
F,De rational design of ace2 protein decoys to neutralize sars-cov-2,
F,De silico design of ace2 protein decoys to neutralize sars-cov-2,
T,Did the oxford covid vaccine work in monkeys ?,
F,Did the oxford covid vaccine work in ihr?,
F,Did the oxford covid vaccine work in i?,
T,Prolonged presence of sars-cov-2 viral rna in faecal samples,
F,No presence of sars-cov-2 viral rna in faecal samples,
F,Prolonged presence of sars-cov-2 viral rna in rcal samples,
F,Prolonged presence of sars-cov-2 viral rna in microcal samples,
T,Restriction of sars-cov-2 replication by targeting programmed 1 ribosomal frameshifting in vitro,
T,Cellular immunity to sars-cov-2 found at six months in non-hospitalised individuals,
F,Cellular immunity to sars-cov-2 found at six days in non-hospitalised individuals,
F,No immunity to sars-cov-2 found at six months in non-hospitalised individuals,
F,Cellular immunity to sars-cov-2 found at six weeks in non-hospitalised individuals,
T,3d visualisation of covid-19 surface released for researchers,
F,3d visualisation of covid-19 surface released for labeling,
T,A familial cluster of infection associated with the 2019 novel coronavirus indicating potential person-to-person transmission during the incubation period,
F,A familial cluster of infection associated with the first novel coronavirus indicating potential person-to-person transmission during the incubation period,
F,A familial cluster of infection associated with the second novel coronavirus indicating potential person-to-person transmission during the incubation period,
T,"Among 6 mothers with confirmed covid-19 , sars-cov-2 was not detected in the serum or throat swab in any of their newborns .",
F,"Among 6 mothers with confirmed covid-19, sars-cov-2 was also detected in the serum or throat swab in any of their newborns.",
F,"Among 6 mothers with confirmed covid-19, sars-cov-2 was commonly detected in the serum or throat swab in any of their newborns.",
F,"Among 6 mothers with confirmed covid-19, sars-cov-2 was frequently detected in the serum or throat swab in any of their newborns.",
T,High ace2 expression in testes suggests possible existence of gender-specific viral reservoirs,
F,High ace2 deficiency in testes suggests possible existence of gender-specific viral reservoirs,
T,Work by researchers in hong kong finds that reinfection may be possible in rare cases .,
F,Work by researchers in hong kong finds that reinfection cannot be possible in rare cases.,
T,Peptide vaccine candidate mimics the heterogeneity of natural sars-cov-2 immunity in convalescent humans and induces broad t cell responses in mice models,
F,Peptide vaccine candidate mimics the heterogeneity of natural sars-cov-2 immunity in convalescent humans and cannots broad t cell responses in mice models,
T,"Cdc released patient who tested positive for covid-19 san antonio , tx",
F,"Cdc released patient who tested negative for covid-19 san antonio, tx",
T,Oxford coronavirus vaccine triggers immune response,
F,Oxford coronavirus vaccine inhibits immune response,
F,Oxford coronavirus vaccine reduces immune response,
F,No coronavirus vaccine triggers immune response,
T,We were in more danger before coronavirus even started,
T,Neuropilin-1 facilitates sars-cov-2 cell entry and provides a possible pathway into the central nervous system,
F,Neuropilin-1 inhibit sars-cov-2 cell entry and provides a possible pathway into the central nervous system,
F,Neuropilin-1 inhibits sars-cov-2 cell entry and provides a possible pathway into the central nervous system,
F,Neuropilin-1 blocks sars-cov-2 cell entry and provides a possible pathway into the central nervous system,
T,Plasma treatments quickly kill coronavirus on surfaces,
F,Plasma treatments quickly kill coronavirus on cells,
T,The broad spectrum antiviral ivermectin targets the host nuclear transport importin α/β1 heterodimer,
F,The broad spectrum antiviral ivermectin targets the extracellular nuclear transport importin α/β1 heterodimer,
F,The broad spectrum antiviral ivermectin targets the intracellular nuclear transport importin α/β1 heterodimer,
F,The broad spectrum antiviral ivermectin targets the subsequent nuclear transport importin α/β1 heterodimer,
T,Sars-cov-2 binds platelet ace2 to enhance thrombosis in covid-19,
F,Sars-cov-2 binds platelet ace2 to prevent thrombosis in covid-19,
F,Sars-cov-2 inhibit platelet ace2 to enhance thrombosis in covid-19,
F,Sars-cov-2 inhibits platelet ace2 to enhance thrombosis in covid-19,
T,Ibm releases novel ai-powered technologies to help health and research community accelerate the discovery of medical insights and treatments for covid-19,
F,Cdc releases novel ai-powered technologies to help health and research community accelerate the discovery of medical insights and treatments for covid-19,
F,Who releases novel ai-powered technologies to help health and research community accelerate the discovery of medical insights and treatments for covid-19,
F,China releases novel ai-powered technologies to help health and research community accelerate the discovery of medical insights and treatments for covid-19,
T,Fujifilm tests favipiravir as covid-19 treatment,
F,Nonfilm tests favipiravir as covid-19 treatment,
F,Subfilm tests favipiravir as covid-19 treatment,
F,Defilm tests favipiravir as covid-19 treatment,
T,Covid-19 could be causing immune system amnesia,
F,Covid-19 cannot be causing immune system amnesia,
T,Interferon deficiency can lead to severe covid,
F,Interferon deficiency cannot lead to severe covid,
T,Clinically proven protease inhibitor blocks coronavirus cell entry,
F,Clinically proven protease inhibitor blocks coronavirus cell proliferation,
F,Clinically proven protease inhibitor for coronavirus cell entry,
T,Hku documented the world 's first case of covid-19 reinfection,
F,Hku documented the second's first case of covid-19 reinfection,
F,Hku documented the latter's first case of covid-19 reinfection,
T,Thymosin alpha 1 reduces the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,
F,Thymosin alpha 1 increases the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,
F,Thymosin alpha 1 increased the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,
F,Thymosin alpha 1 promotes the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,
T,"Astra likely to run additional global vaccine test , ceo says",
F,"Astra likely to run additional global vaccine test, 2 says",
T,Swiss scientists have recreated the coronvirus in a lab from just the sequence,
F,Swiss scientists have recreated the coronvirus in a lab without just the sequence,
F,Swiss scientists have recreated the coronvirus in a lab from just the question,
F,Swiss scientists have recreated the coronvirus in a lab from just the first,
T,Moderna vaccine becomes third covid-19 vaccine approved by uk regulator.,
F,Moderna vaccine becomes no covid-19 vaccine approved by uk regulator.,
F,Moderna vaccine becomes one covid-19 vaccine approved by uk regulator.,
F,Moderna vaccine becomes the covid-19 vaccine approved by uk regulator.,
T,Coronavirus vaccines may not work for the elderly,
F,Coronavirus vaccines may also work for the elderly,
F,Coronavirus vaccines may therefore work for the elderly,
F,Coronavirus vaccines may then work for the elderly,
T,Fda gives the green light to portable covid-19 test kit,
F,Table gives the green light to portable covid-19 test kit,
F,Each gives the green light to portable covid-19 test kit,
T,13 % of infected patients on the diamond princess in japan were asymptomatic,
F,13 % of infected patients on the diamond princess in toronto were asymptomatic,
F,13 % of infected patients on the diamond princess in korea were asymptomatic,
F,13 % of infected patients on the diamond princess in guangzhou were asymptomatic,
T,Reduced vitamin k status as a potentially modifiable prognostic risk factor in covid-19,
F,Increased vitamin k status as a potentially modifiable prognostic risk factor in covid-19,
F,Higher vitamin k status as a potentially modifiable prognostic risk factor in covid-19,
F,High vitamin k status as a potentially modifiable prognostic risk factor in covid-19,
T,A prefusion sars-cov-2 spike rna vaccine is highly immunogenic and prevents lung infection in non-human primates,
F,A prefusion sars-cov-2 spike rna vaccine is highly immunogenic and causes lung infection in non-human primates,
F,A prefusion sars-cov-2 spike rna vaccine is highly immunogenic and cause lung infection in non-human primates,
F,A prefusion sars-cov-2 spike rna vaccine is highly immunogenic and promotes lung infection in non-human primates,
T,Fewer coronavirus deaths seen in countries that mandate tuberculosis vaccine,
F,Many coronavirus deaths seen in countries that mandate tuberculosis vaccine,
F,Most coronavirus deaths seen in countries that mandate tuberculosis vaccine,
F,All coronavirus deaths seen in countries that mandate tuberculosis vaccine,
T,Quest diagnostics rolls out home covid-19 antibody test for purchase online,
F,Current diagnostics rolls out home covid-19 antibody test for purchase online,
F,Clinical diagnostics rolls out home covid-19 antibody test for purchase online,
T,Kazakhstan denies reports of 'unknown pneumonia ' outbreak more deadly than covid-19,
F,Kazakhstan reported reports of 'unknown pneumonia'outbreak more deadly than covid-19,
F,Kazakhstan are reports of 'unknown pneumonia'outbreak more deadly than covid-19,
F,Kazakhstan' reports of 'unknown pneumonia'outbreak more deadly than covid-19,
T,Thromboembolic events and apparent heparin resistance in patients infected with sars-cov-2,
F,Thromboembolic events and no heparin resistance in patients infected with sars-cov-2,
T,Sars-cov-2 causes severe alveolar inflammation and barrier dysfunction,
F,Sars-cov-2 inhibits severe alveolar inflammation and barrier dysfunction,
F,Sars-cov-2 reduces severe alveolar inflammation and barrier dysfunction,
F,Sars-cov-2 causes mild alveolar inflammation and barrier dysfunction,
T,Colchicine reduces lung injury in experimental acute respiratory distress syndrome,
F,Colchicine increases lung injury in experimental acute respiratory distress syndrome,
F,Colchicine increased lung injury in experimental acute respiratory distress syndrome,
F,Colchicine promotes lung injury in experimental acute respiratory distress syndrome,
T,Biolidics to launch ten-minute rapid test kits for covid-19,
F,Biolidics to launch 2-minute rapid test kits for covid-19,
F,Biolidics to launch one-minute rapid test kits for covid-19,
F,Biolidics to launch two-minute rapid test kits for covid-19,
T,Uae approves use of covid19 vaccine .,
F,Uae approves production of covid19 vaccine.,
F,Uae approves development of covid19 vaccine.,
T,Bacteriophage could decrease mortality,
F,Bacteriophage could increase mortality,
F,Bacteriophage could cause mortality,
F,Bacteriophage could induce mortality,
T,The return to the office will only succeed through radical transparency,
F,The return to the office will not succeed through radical transparency,
T,Ecuador sees massive surge in deaths in april,
F,Ecuador sees massive surge in investment in april,
F,Ecuador sees massive surge in practice in april,
F,Ecuador sees massive surge in compliance in april,
T,Prolonged sars-cov-2 replication in an immunocompromised patient,
F,Prolonged sars-cov-2 deficiency in an immunocompromised patient,
T,"China reports smallest number of new covid-19 cases since january , but that doesnt mean virus is peaking.",
F,"China reports smallest number of new covid-19 cases since january, but that ht mean virus is peaking.",
F,"China reports smallest number of new covid-19 cases since january, but that gt mean virus is peaking.",
T,Fluvoxamine vs placebo and clinical deterioration in outpatients with symptomatic covid-19a randomized clinical trial.,
F,Fluvoxamine vs placebo and clinical improvement in outpatients with symptomatic covid-19a randomized clinical trial.,
T,'silent ' mutations gave the coronavirus an evolutionary edge,
F,' a'mutations gave the coronavirus an evolutionary edge,
F,' if'mutations gave the coronavirus an evolutionary edge,
F,' fact'mutations gave the coronavirus an evolutionary edge,
T,"After 62 years of regulating immunity , dexamethasone meets covid-19",
F,"During 62 years of regulating immunity, dexamethasone meets covid-19",
F,"Within 62 years of regulating immunity, dexamethasone meets covid-19",
T,Randomized trial finds hydroxychloroquine did not prevent covid-19,
F,Randomized trial finds hydroxychloroquine did only prevent covid-19,
F,Randomized trial finds hydroxychloroquine did also prevent covid-19,
F,Randomized trial finds hydroxychloroquine did indeed prevent covid-19,
T,A man in hong kong is the first confirmed case of coronavirus reinfection,
F,A gift in hong kong is the first confirmed case of coronavirus reinfection,
F,A man in hong kong is the second confirmed case of coronavirus reinfection,
F,A man in hong kong is the last confirmed case of coronavirus reinfection,
T,New coronavirus test 10 times faster is fda approved,
F,New coronavirus test 10 times later is fda approved,
F,New coronavirus test 10 times old is fda approved,
T,Evidence that coronavirus superspreading is fat-tailed,
F,Evidence that coronavirus superspreading is low-tailed,
F,Evidence that coronavirus superspreading is one-tailed,
F,Evidence that coronavirus superspreading is non-tailed,
T,Development and validation of a clinical risk score to predict the occurrence of critical illness in hospitalized patients with covid-19,
F,Development and lack of a clinical risk score to predict the occurrence of critical illness in hospitalized patients with covid-19,
T,Public disclosure of covid-19 cases is more effective than lockdowns,
F,Public disclosure of covid-19 cases is less effective than lockdowns,
F,Public disclosure of covid-19 cases is not effective than lockdowns,
F,Public disclosure of covid-19 cases is more effective during lockdowns,
T,Massachusetts general hospital covid-19 registry reveals two distinct populations of hospitalized patients by race and ethnicity,
F,Massachusetts general hospital covid-19 registry reveals four distinct populations of hospitalized patients by race and ethnicity,
F,Massachusetts general hospital covid-19 registry reveals five distinct populations of hospitalized patients by race and ethnicity,
F,Massachusetts general hospital covid-19 registry reveals three distinct populations of hospitalized patients by race and ethnicity,
T,Sars-cov-2 infection damages airway motile cilia and impairs mucociliary clearance.,
F,Sars-cov-2 infection promotes airway motile cilia and impairs mucociliary clearance.,
T,A previously uncharacterized gene in sars-cov-2 illuminates the functional dynamics and evolutionary origins of the covid-19 pandemic,
F,A newly uncharacterized gene in sars-cov-2 illuminates the functional dynamics and evolutionary origins of the covid-19 pandemic,
F,A novel uncharacterized gene in sars-cov-2 illuminates the functional dynamics and evolutionary origins of the covid-19 pandemic,
F,A new uncharacterized gene in sars-cov-2 illuminates the functional dynamics and evolutionary origins of the covid-19 pandemic,
T,Sauna use reduces pneumonia risk,
F,Sauna use increased pneumonia risk,
F,Sauna use is pneumonia risk,
F,Sauna use with pneumonia risk,
T,Coronavirus case counts are meaningless*,
F,Coronavirus case counts are defined*,
F,Coronavirus case counts are indicated*,
F,Coronavirus case counts are shown*,
T,Enisamium is an inhibitor of the sars-cov-2 rna polymerase and shows improvement of recovery in covid-19 patients in an interim analysis of a clinical trial.,
F,Enisamium is an activator of the sars-cov-2 rna polymerase and shows improvement of recovery in covid-19 patients in an interim analysis of a clinical trial.,
F,Enisamium is an indicator of the sars-cov-2 rna polymerase and shows improvement of recovery in covid-19 patients in an interim analysis of a clinical trial.,
T,"In 2004 , researchers began human trials for aerosolized hydroxychloroquine to be taken using an inhaler .",
F,"In 20, researchers began human trials for aerosolized hydroxychloroquine to be taken using an inhaler.",
F,"In 31, researchers began human trials for aerosolized hydroxychloroquine to be taken using an inhaler.",
F,"In 1, researchers began human trials for aerosolized hydroxychloroquine to be taken using an inhaler.",
T,Pulmonary pathology of early covid-19 pneumonia identified retrospectively in two patients with lung cancer,
F,Pulmonary pathology of early covid-19 pneumonia identified retrospectively in two patients without lung cancer,
F,Pulmonary pathology of early covid-19 pneumonia identified retrospectively in 19 patients with lung cancer,
F,Pulmonary pathology of early covid-19 pneumonia identified retrospectively in all patients with lung cancer,
T,Covid-19 mortality increases with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,
F,Covid-19 mortality decreased with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,
F,Covid-19 mortality decreases with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,
T,Infectious diseases expert warns of second corona wave after fall,
F,Infectious diseases expert warns of one corona wave after fall,
F,Infectious diseases expert warns of each corona wave after fall,
T,Doctors say cdc should warn people the side effects from covid vaccine shots wont be a walk in the park,
F,Doctors say cdc should warn people the side effects from covid vaccine shots tot be a walk in the park,
